Datetime,City,Temperature_C,Feels_Like_C,Humidity_%,Wind_kph,Pressure_hPa,UV_Index,Weather_Condition,Weather_Icon,Sunrise,Sunset
2025-07-23 00:00:00,Athens,34.4,33.7,50,9.8,992.0,1,Rainy,🌧️,06:30:00,20:00:00
2025-07-23 01:00:00,Athens,27.1,25.3,77,5.6,1012.2,6,Snowy,❄️,06:30:00,20:00:00
2025-07-23 02:00:00,Athens,26.0,23.6,40,17.1,984.6,3,Sunny,☀️,06:30:00,20:00:00
2025-07-23 03:00:00,Athens,15.4,13.1,71,16.1,996.0,2,Hazy,🌫️,06:30:00,20:00:00
2025-07-23 04:00:00,Athens,17.0,15.4,40,15.1,1013.0,9,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 05:00:00,Athens,28.9,28.5,85,7.3,1015.9,3,Snowy,❄️,06:30:00,20:00:00
2025-07-23 06:00:00,Athens,28.9,27.0,89,24.1,1017.5,5,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 07:00:00,Athens,23.6,23.0,83,17.5,1031.3,5,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 08:00:00,Athens,24.7,23.8,85,8.1,1000.6,3,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 09:00:00,Athens,20.4,19.7,44,12.5,1034.6,3,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 10:00:00,Athens,31.9,29.6,59,17.2,1026.3,8,Rainy,🌧️,06:30:00,20:00:00
2025-07-23 11:00:00,Athens,34.4,34.2,40,21.7,995.6,5,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 12:00:00,Athens,17.7,16.5,87,13.8,986.0,8,Hazy,🌫️,06:30:00,20:00:00
2025-07-23 13:00:00,Athens,21.6,19.9,79,4.8,1014.1,7,Hazy,🌫️,06:30:00,20:00:00
2025-07-23 14:00:00,Athens,31.9,31.5,47,6.4,1002.3,10,Sunny,☀️,06:30:00,20:00:00
2025-07-23 15:00:00,Athens,28.9,27.2,53,20.8,995.4,1,Sunny,☀️,06:30:00,20:00:00
2025-07-23 16:00:00,Athens,24.2,23.2,52,7.5,999.2,10,Hazy,🌫️,06:30:00,20:00:00
2025-07-23 17:00:00,Athens,20.5,19.6,90,7.1,1010.3,7,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 18:00:00,Athens,17.0,15.6,84,2.4,982.6,8,Snowy,❄️,06:30:00,20:00:00
2025-07-23 19:00:00,Athens,21.5,20.2,48,17.7,999.3,7,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 20:00:00,Athens,29.5,28.4,72,21.3,1033.7,9,Sunny,☀️,06:30:00,20:00:00
2025-07-23 21:00:00,Athens,21.0,18.7,80,22.1,1025.4,7,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 22:00:00,Athens,34.8,33.0,55,16.0,1030.8,9,Snowy,❄️,06:30:00,20:00:00
2025-07-23 23:00:00,Athens,30.0,28.6,72,3.3,989.6,4,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 00:00:00,Athens,20.6,20.0,67,8.4,1031.0,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 01:00:00,Athens,30.6,29.3,50,22.8,1031.8,3,Snowy,❄️,06:30:00,20:00:00
2025-07-24 02:00:00,Athens,22.0,20.2,59,12.9,1022.8,9,Snowy,❄️,06:30:00,20:00:00
2025-07-24 03:00:00,Athens,19.4,16.9,56,22.2,999.6,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 04:00:00,Athens,28.7,26.3,84,2.5,1000.8,10,Rainy,🌧️,06:30:00,20:00:00
2025-07-24 05:00:00,Athens,27.1,25.9,85,7.5,983.1,9,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 06:00:00,Athens,34.0,32.5,77,12.7,1008.9,7,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 07:00:00,Athens,33.2,31.8,42,9.5,999.9,5,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 08:00:00,Athens,31.3,30.3,77,7.1,983.9,1,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 09:00:00,Athens,30.4,28.1,55,9.0,1007.4,1,Sunny,☀️,06:30:00,20:00:00
2025-07-24 10:00:00,Athens,32.3,30.4,75,9.6,992.0,7,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 11:00:00,Athens,34.2,32.5,46,14.9,988.8,1,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 12:00:00,Athens,28.0,26.5,82,18.7,1029.4,8,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 13:00:00,Athens,33.5,33.2,42,18.9,998.5,3,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 14:00:00,Athens,28.8,26.5,63,20.5,1032.4,4,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 15:00:00,Athens,34.9,33.9,40,13.9,996.1,4,Snowy,❄️,06:30:00,20:00:00
2025-07-24 16:00:00,Athens,21.9,21.3,59,20.1,997.2,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 17:00:00,Athens,34.8,32.4,51,24.4,991.7,3,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 18:00:00,Athens,22.5,21.4,66,8.9,1034.3,9,Snowy,❄️,06:30:00,20:00:00
2025-07-24 19:00:00,Athens,17.1,16.1,87,14.0,1023.7,5,Rainy,🌧️,06:30:00,20:00:00
2025-07-24 20:00:00,Athens,16.8,15.4,50,18.8,990.2,7,Sunny,☀️,06:30:00,20:00:00
2025-07-24 21:00:00,Athens,34.6,33.3,88,10.6,995.4,9,Rainy,🌧️,06:30:00,20:00:00
2025-07-24 22:00:00,Athens,27.1,25.7,90,23.7,1016.8,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 23:00:00,Athens,24.8,23.5,77,15.1,1012.0,8,Snowy,❄️,06:30:00,20:00:00
2025-07-25 00:00:00,Athens,19.3,18.9,43,18.0,1018.1,7,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 01:00:00,Athens,30.3,29.6,76,8.0,1018.3,1,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 02:00:00,Athens,22.8,21.3,90,21.2,1024.3,8,Sunny,☀️,06:30:00,20:00:00
2025-07-25 03:00:00,Athens,26.8,26.3,81,24.2,1001.1,9,Sunny,☀️,06:30:00,20:00:00
2025-07-25 04:00:00,Athens,28.8,28.0,46,24.4,1001.2,8,Snowy,❄️,06:30:00,20:00:00
2025-07-25 05:00:00,Athens,23.0,22.5,63,14.5,1034.7,10,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 06:00:00,Athens,16.9,16.2,82,21.5,994.4,10,Rainy,🌧️,06:30:00,20:00:00
2025-07-25 07:00:00,Athens,20.5,19.5,64,8.4,994.4,7,Rainy,🌧️,06:30:00,20:00:00
2025-07-25 08:00:00,Athens,29.8,27.8,88,15.3,1002.8,9,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 09:00:00,Athens,28.1,27.6,85,24.6,983.5,2,Rainy,🌧️,06:30:00,20:00:00
2025-07-25 10:00:00,Athens,16.6,15.7,63,12.8,994.0,9,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 11:00:00,Athens,29.5,27.1,67,3.5,1002.7,8,Rainy,🌧️,06:30:00,20:00:00
2025-07-25 12:00:00,Athens,24.1,22.1,43,19.3,1023.0,4,Rainy,🌧️,06:30:00,20:00:00
2025-07-25 13:00:00,Athens,23.3,21.9,56,9.4,1011.4,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 14:00:00,Athens,16.0,14.3,71,20.3,1020.5,7,Snowy,❄️,06:30:00,20:00:00
2025-07-25 15:00:00,Athens,23.0,22.7,48,20.0,987.3,1,Sunny,☀️,06:30:00,20:00:00
2025-07-25 16:00:00,Athens,18.9,18.8,78,10.3,983.7,10,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 17:00:00,Athens,23.0,22.8,50,7.7,1010.3,9,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 18:00:00,Athens,32.1,31.9,48,22.2,1007.9,9,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 19:00:00,Athens,33.7,32.1,85,5.7,1021.7,4,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 20:00:00,Athens,27.9,26.3,58,18.6,1028.8,1,Hazy,🌫️,06:30:00,20:00:00
2025-07-25 21:00:00,Athens,31.8,31.3,40,12.0,1017.6,10,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 22:00:00,Athens,19.2,17.3,85,19.0,1000.3,3,Sunny,☀️,06:30:00,20:00:00
2025-07-25 23:00:00,Athens,15.4,15.0,47,6.7,1012.2,1,Stormy,🌩️,06:30:00,20:00:00
2025-07-26 00:00:00,Athens,19.7,19.5,72,19.6,1009.6,5,Snowy,❄️,06:30:00,20:00:00
2025-07-26 01:00:00,Athens,20.8,20.5,60,20.0,1020.6,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-26 02:00:00,Athens,34.6,33.7,75,12.6,1018.4,1,Hazy,🌫️,06:30:00,20:00:00
2025-07-26 03:00:00,Athens,29.8,28.9,88,19.9,986.9,3,Sunny,☀️,06:30:00,20:00:00
2025-07-26 04:00:00,Athens,26.3,24.3,75,14.2,1030.4,1,Snowy,❄️,06:30:00,20:00:00
2025-07-26 05:00:00,Athens,18.9,17.6,77,8.7,998.4,6,Sunny,☀️,06:30:00,20:00:00
2025-07-26 06:00:00,Athens,19.5,19.1,43,11.6,998.8,3,Hazy,🌫️,06:30:00,20:00:00
2025-07-26 07:00:00,Athens,19.4,17.1,47,16.7,981.9,8,Hazy,🌫️,06:30:00,20:00:00
